driver_number,driver_name,lap_number,stint_number,compound,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration
81,PIA,9,1,MEDIUM,37.822,62.218,45.154,187.0,214,145.194
31,OCO,19,4,MEDIUM,55.815,44.851,37.312,292.0,260,137.978
31,OCO,18,2,SOFT,35.706,54.084,42.763,199.0,198,132.553
22,TSU,24,3,SOFT,34.517,50.085,37.156,246.0,237,121.758
18,STR,18,4,SOFT,27.511,39.615,26.645,309.0,276,93.771
10,GAS,21,3,HARD,29.07,42.232,27.921,284.0,256,99.223
14,ALO,20,4,SOFT,27.495,39.841,26.638,306.0,273,93.974
2,SAR,24,5,MEDIUM,29.155,43.016,28.357,252.29595222295953,264,100.528
20,MAG,22,3,HARD,29.539,44.561,36.611,252.29595222295953,198,110.711
44,HAM,12,4,MEDIUM,35.875554819720385,44.561,32.544,265.0,246,489.188
18,STR,10,2,SOFT,47.51,61.752,49.75,227.0,213,159.012
23,ALB,15,5,SOFT,53.207,49.472,35.319746606334846,274.0,242,226.024
11,PER,9,1,HARD,27.959,40.432,26.945,308.0,274,95.336
4,NOR,10,2,MEDIUM,35.028,48.059,38.987,199.0,198,122.074
77,BOT,9,2,SOFT,29.372,42.274,28.136,274.0,252,99.782
31,OCO,16,3,MEDIUM,35.875554819720385,51.024,41.863,178.0,245,489.037
14,ALO,19,4,MEDIUM,28.957,41.79,27.682,292.0,262,98.429
77,BOT,17,3,MEDIUM,35.875554819720385,48.003,31.393,242.0,241,524.444
2,SAR,8,3,SOFT,27.263,39.523,26.466,311.0,279,93.252
77,BOT,15,2,MEDIUM,27.835,40.343,27.021,302.0,273,95.199
24,ZHO,8,3,SOFT,29.662,42.162,28.283,279.0,256,100.107
11,PER,18,5,SOFT,42.573,68.27,32.689,146.0,132,143.532
63,RUS,11,2,SOFT,27.05,39.044,26.27,307.0,277,92.364
14,ALO,22,4,SOFT,28.581,41.582,27.66,290.0,264,97.823
63,RUS,8,1,SOFT,27.347,39.111,26.425,304.0,274,92.883
81,PIA,3,1,MEDIUM,46.974,73.481,49.626,80.0,127,170.081
31,OCO,15,3,HARD,29.061,42.387,28.003,281.0,255,99.451
11,PER,9,1,MEDIUM,32.699,47.932,37.697,264.0,227,118.328
27,HUL,19,4,MEDIUM,29.338,42.635,28.129,282.0,255,100.102
63,RUS,11,4,SOFT,27.224,59.263,45.47,306.0,170,131.957
55,SAI,13,3,MEDIUM,28.408,40.914,27.084,285.0,260,96.406
31,OCO,13,2,SOFT,35.49,47.261,38.344,199.0,242,121.095
10,GAS,15,3,SOFT,44.402,56.433,37.787,150.0,210,138.622
4,NOR,4,1,HARD,27.35,40.219,26.971,310.0,272,94.54
11,PER,6,2,MEDIUM,44.269,47.095,37.855,222.0,248,129.219
4,NOR,12,3,SOFT,35.875554819720385,42.17,27.838,276.0,259,537.115
55,SAI,13,2,SOFT,41.999,68.367,50.315,172.0,134,160.681
10,GAS,6,1,MEDIUM,41.047,53.098,34.807,211.0,244,128.952
16,LEC,11,3,SOFT,27.171,38.786,26.193,311.0,280,92.15
1,VER,22,3,MEDIUM,38.072,57.699,49.28,164.0,141,145.051
10,GAS,18,3,SOFT,32.69,44.663,37.571,219.0,253,114.924
11,PER,15,3,SOFT,30.736,43.594,36.331,282.0,242,110.661
81,PIA,10,3,SOFT,35.875554819720385,48.652,31.847,287.0,254,367.713
23,ALB,9,3,SOFT,27.296,39.696,26.378,306.0,276,93.37
20,MAG,14,4,SOFT,27.026,38.757,26.109,312.0,279,91.892
4,NOR,11,2,SOFT,35.469,48.484,40.18,199.0,203,124.133
63,RUS,10,2,HARD,43.591,56.423,34.79,276.0,242,134.804
2,SAR,3,1,SOFT,29.402,42.227,36.358,283.0,255,107.987
16,LEC,12,3,SOFT,33.689,46.467,39.529,265.0,223,119.685
31,OCO,7,3,SOFT,35.875554819720385,57.395,38.661,277.0,244,2132.904
55,SAI,8,2,SOFT,35.875554819720385,55.972,38.129,260.0,240,579.446
23,ALB,16,4,MEDIUM,28.494,42.245,27.645,293.0,267,98.384
20,MAG,15,3,HARD,28.963,42.139,28.314,280.0,255,99.416
27,HUL,14,4,SOFT,47.416,62.007,31.995,171.0,240,141.418
55,SAI,11,2,SOFT,42.724,78.08,48.315,125.0,212,169.119
24,ZHO,4,1,MEDIUM,28.144,40.556,27.204,303.0,273,95.904
55,SAI,3,1,HARD,32.525,60.63,44.389,214.0,162,137.544
16,LEC,15,4,SOFT,38.453,47.75,39.575,227.0,225,125.778
11,PER,2,1,MEDIUM,27.98,40.396,26.857,307.0,277,95.233
63,RUS,15,3,MEDIUM,35.875554819720385,42.834,29.771,281.0,258,460.311
1,VER,4,1,HARD,28.453,40.888,27.08,306.0,274,96.421
10,GAS,6,2,SOFT,44.849,64.773,50.544,145.0,190,160.166
18,STR,5,2,HARD,28.551,41.741,27.795,293.0,263,98.087
63,RUS,7,3,SOFT,35.875554819720385,49.996,31.054,280.0,251,2247.68
40,RESERVE,6,1,MEDIUM,60.126,57.033,33.695,139.0,240,150.854
27,HUL,9,3,SOFT,45.943,62.626,44.199,133.0,163,152.768
55,SAI,17,4,SOFT,39.477,57.541,55.395,188.0,148,152.413
40,RESERVE,16,2,SOFT,47.916,64.64,43.628,158.0,156,156.184
22,TSU,10,2,MEDIUM,59.178,48.043,40.9,276.0,261,148.121
18,STR,17,3,MEDIUM,28.754,41.802,27.646,289.0,261,98.202
63,RUS,21,3,MEDIUM,28.887,42.066,27.623,290.0,263,98.576
